Red,Yellow,Green,TimeActive,Time
1,0,0,9,0:21:44
0,1,0,5,0:21:49
0,0,1,2,0:21:51
0,1,0,2,0:21:53
1,0,0,4,0:21:57
0,1,0,9,0:22:06
0,0,1,1,0:22:07
0,1,1,5,0:22:12
1,0,0,9,0:22:21
0,1,0,6,0:22:27
0,0,1,5,0:22:32
0,1,0,7,0:22:39
1,0,0,1,0:22:40
0,1,0,8,0:22:48
0,0,1,5,0:22:53
0,1,0,3,0:22:56
1,0,0,6,0:23:02
0,1,0,9,0:23:11
0,0,1,6,0:23:17
0,1,0,3,0:23:20
1,0,0,2,0:23:22
0,1,0,2,0:23:24
1,0,1,3,0:23:27
0,1,0,6,0:23:33
1,0,0,7,0:23:40
0,1,0,3,0:23:43
0,0,1,7,0:23:50
0,1,0,7,0:23:57
1,0,0,2,0:23:59
0,1,0,5,0:24:04
0,0,1,6,0:24:10
0,1,0,6,0:24:16
1,0,0,1,0:24:17
0,1,0,1,0:24:18
0,0,1,1,0:24:19
0,1,0,4,0:24:23
1,0,0,6,0:24:29
1,1,0,7,0:24:36
0,0,1,9,0:24:45
0,1,0,8,0:24:53
1,0,0,8,0:25:01
0,1,0,5,0:25:06
0,0,1,3,0:25:09
0,1,0,6,0:25:15
1,0,0,1,0:25:16
0,1,0,7,0:25:23
0,0,1,2,0:25:25
0,1,0,3,0:25:28
1,0,0,7,0:25:35
0,1,0,5,0:25:40
0,0,1,4,0:25:44
0,1,0,4,0:25:48
1,0,0,8,0:25:56
0,1,0,1,0:25:57
0,0,1,3,0:26:00
0,1,0,9,0:26:09
1,0,0,4,0:26:13
0,1,0,7,0:26:20
0,0,1,6,0:26:26
0,1,0,4,0:26:30
1,0,0,2,0:26:32
0,1,0,6,0:26:38
0,0,1,8,0:26:46
0,1,0,3,0:26:49
1,0,0,8,0:26:57
0,1,0,2,0:26:59
0,0,1,5,0:27:04
0,1,0,8,0:27:12
1,0,0,8,0:27:20
0,1,0,1,0:27:21
0,0,1,2,0:27:23
0,1,0,9,0:27:32
1,0,0,2,0:27:34
0,1,0,3,0:27:37
0,0,1,9,0:27:46
0,1,0,3,0:27:49
1,0,0,4,0:27:53
0,1,0,8,0:28:01
0,0,1,6,0:28:07
0,1,0,8,0:28:15
1,0,0,8,0:28:23
0,1,0,5,0:28:28
0,0,1,5,0:28:33
0,1,0,2,0:28:35
1,0,0,9,0:28:44
0,1,0,5,0:28:49
0,0,1,5,0:28:54
0,1,0,7,0:29:01
1,0,0,5,0:29:06
0,1,0,7,0:29:13
0,0,1,5,0:29:18
0,1,0,7,0:29:25
1,0,0,1,0:29:26
0,1,0,3,0:29:29
0,0,1,3,0:29:32
0,1,0,9,0:29:41
1,0,0,1,0:29:42
0,1,0,4,0:29:46
0,0,1,9,0:29:55
0,1,0,3,0:29:58
1,0,0,9,0:30:07
0,1,0,9,0:30:16
0,0,1,1,0:30:17
0,1,0,8,0:30:25
1,0,0,7,0:30:32
0,1,0,2,0:30:34
0,0,1,3,0:30:37
0,1,0,1,0:30:38
1,1,0,2,0:30:40
0,1,0,2,0:30:42
0,0,1,3,0:30:45
0,1,0,2,0:30:47
1,0,0,7,0:30:54
0,1,0,1,0:30:55
0,0,1,7,0:31:02
0,1,1,3,0:31:05
1,0,0,3,0:31:08
0,1,0,4,0:31:12
0,0,1,3,0:31:15
0,1,0,7,0:31:22
1,1,0,5,0:31:27
0,1,0,6,0:31:33
0,0,1,5,0:31:38
0,1,0,9,0:31:47
1,0,0,9,0:31:56
0,1,0,3,0:31:59
0,0,1,6,0:32:05
0,1,0,2,0:32:07
1,0,0,3,0:32:10
0,1,0,2,0:32:12
0,0,1,6,0:32:18
0,1,0,7,0:32:25
1,0,0,2,0:32:27
0,1,0,6,0:32:33
0,0,1,4,0:32:37
0,1,0,6,0:32:43
1,0,0,5,0:32:48
0,1,1,1,0:32:49
0,0,1,1,0:32:50
0,1,0,4,0:32:54
1,0,0,7,0:33:01
0,1,0,9,0:33:10
0,0,1,7,0:33:17
0,1,0,1,0:33:18
1,0,1,5,0:33:23
0,1,0,7,0:33:30
0,0,1,8,0:33:38
0,1,0,3,0:33:41
1,0,0,9,0:33:50
0,1,0,4,0:33:54
0,0,1,4,0:33:58
0,1,0,9,0:34:07
1,0,0,1,0:34:08
0,1,0,1,0:34:09
0,0,1,8,0:34:17
0,1,0,5,0:34:22
1,0,0,8,0:34:30
0,1,0,1,0:34:31
0,0,1,6,0:34:37
0,1,0,7,0:34:44
1,0,0,1,0:34:45
0,1,0,9,0:34:54
0,0,1,6,0:35:00
0,1,1,1,0:35:01
1,0,0,8,0:35:09
0,1,0,4,0:35:13
0,0,1,4,0:35:17
0,1,0,5,0:35:22
1,0,0,8,0:35:30
0,1,0,4,0:35:34
1,0,1,5,0:35:39
0,1,0,5,0:35:44
1,0,0,9,0:35:53
0,1,0,2,0:35:55
0,0,1,9,0:36:04
0,1,0,8,0:36:12
1,0,0,1,0:36:13
0,1,0,1,0:36:14
0,0,1,7,0:36:21
0,1,0,2,0:36:23
1,0,0,2,0:36:25
0,1,0,7,0:36:32
0,0,1,2,0:36:34
0,1,0,8,0:36:42
1,0,0,8,0:36:50
0,1,0,6,0:36:56
0,0,1,1,0:36:57
0,1,0,4,0:37:01
1,0,0,9,0:37:10
0,1,0,9,0:37:19
0,0,1,8,0:37:27
0,1,0,5,0:37:32
1,0,0,2,0:37:34
0,1,0,1,0:37:35
0,0,1,6,0:37:41
0,1,0,6,0:37:47
1,0,0,7,0:37:54
0,1,0,8,0:38:02
0,0,1,4,0:38:06
0,1,0,2,0:38:08
1,0,0,5,0:38:13
0,1,0,9,0:38:22
0,0,1,8,0:38:30
0,1,0,9,0:38:39
1,1,0,8,0:38:47
0,1,0,5,0:38:52
0,0,1,3,0:38:55
0,1,0,6,0:39:01
1,0,0,7,0:39:08
0,1,0,5,0:39:13
0,0,1,9,0:39:22
0,1,0,6,0:39:28
1,0,0,8,0:39:36
0,1,0,8,0:39:44
0,0,1,6,0:39:50
0,1,0,3,0:39:53
1,0,0,9,0:40:02
0,1,0,5,0:40:07
0,0,1,3,0:40:10
0,1,0,8,0:40:18
1,0,0,9,0:40:27
0,1,0,4,0:40:31
0,0,1,1,0:40:32
0,1,0,7,0:40:39
1,0,0,1,0:40:40
0,1,0,9,0:40:49
0,0,1,9,0:40:58
0,1,0,5,0:41:03
1,0,0,7,0:41:10
0,1,0,9,0:41:19
0,0,1,9,0:41:28
0,1,0,7,0:41:35
1,0,0,3,0:41:38
0,1,0,7,0:41:45
0,0,1,5,0:41:50
0,1,0,5,0:41:55
1,0,0,8,0:42:03
0,1,0,3,0:42:06
0,0,1,6,0:42:12
0,1,0,6,0:42:18
1,0,0,6,0:42:24
0,1,0,2,0:42:26
0,0,1,2,0:42:28
0,1,0,1,0:42:29
1,0,0,3,0:42:32
0,1,0,6,0:42:38
0,0,1,7,0:42:45
0,1,0,3,0:42:48
1,0,0,1,0:42:49
0,1,0,6,0:42:55
0,0,1,2,0:42:57
0,1,0,7,0:43:04
1,0,0,2,0:43:06
0,1,0,4,0:43:10
0,0,1,8,0:43:18
0,1,0,3,0:43:21
1,0,0,5,0:43:26
0,1,0,6,0:43:32
0,0,1,6,0:43:38
0,1,0,5,0:43:43
1,0,0,2,0:43:45
0,1,0,2,0:43:47
0,0,1,1,0:43:48
0,1,0,5,0:43:53
1,0,0,9,0:44:02
0,1,0,8,0:44:10
0,0,1,5,0:44:15
0,1,0,7,0:44:22
1,0,0,7,0:44:29
0,1,0,8,0:44:37
0,0,1,2,0:44:39
0,1,0,2,0:44:41
1,0,0,2,0:44:43
0,1,0,7,0:44:50
0,0,1,7,0:44:57
0,1,0,2,0:44:59
1,0,0,7,0:45:06
0,1,0,7,0:45:13
0,0,1,3,0:45:16
0,1,0,9,0:45:25
1,0,0,2,0:45:27
0,1,0,8,0:45:35
0,0,1,9,0:45:44
0,1,0,1,0:45:45
1,0,1,6,0:45:51
0,1,0,9,0:46:00
0,0,1,5,0:46:05
0,1,0,6,0:46:11
1,0,0,5,0:46:16
0,1,0,5,0:46:21
0,0,1,3,0:46:24
0,1,0,9,0:46:33
1,0,0,7,0:46:40
0,1,0,7,0:46:47
0,0,1,8,0:46:55
0,1,0,8,0:47:03
1,0,0,3,0:47:06
0,1,0,2,0:47:08
0,0,1,1,0:47:09
0,1,0,3,0:47:12
1,0,0,8,0:47:20
0,1,0,3,0:47:23
0,0,1,8,0:47:31
0,1,0,4,0:47:35
1,0,0,4,0:47:39
0,1,0,7,0:47:46
0,0,1,8,0:47:54
0,1,0,5,0:47:59
1,0,0,6,0:48:05
0,1,0,4,0:48:09
0,0,1,4,0:48:13
0,1,0,4,0:48:17
1,0,0,1,0:48:18
0,1,0,9,0:48:27
0,0,1,5,0:48:32
0,1,0,1,0:48:33
1,0,0,8,0:48:41
0,1,0,5,0:48:46
0,0,1,7,0:48:53
0,1,0,5,0:48:58
1,0,0,9,0:49:07
0,1,0,9,0:49:16
0,0,1,2,0:49:18
0,1,0,5,0:49:23
1,0,0,8,0:49:31
0,1,0,6,0:49:37
0,0,1,5,0:49:42
0,1,0,1,0:49:43
1,0,0,8,0:49:51
0,1,0,7,0:49:58
0,0,1,7,0:50:05
0,1,0,8,0:50:13
1,0,0,3,0:50:16
0,1,0,2,0:50:18
0,0,1,9,0:50:27
0,1,0,2,0:50:29
1,0,0,7,0:50:36
0,1,0,5,0:50:41
0,0,1,3,0:50:44
0,1,0,8,0:50:52
1,0,0,2,0:50:54
0,1,0,5,0:50:59
0,0,1,3,0:51:02
0,1,0,8,0:51:10
1,0,0,8,0:51:18
0,1,0,9,0:51:27
0,0,1,9,0:51:36
0,1,0,1,0:51:37
1,0,0,6,0:51:43
0,1,0,3,0:51:46
0,0,1,7,0:51:53
0,1,0,7,0:52:00
1,1,0,6,0:52:06
0,1,0,7,0:52:13
0,0,1,7,0:52:20
0,1,0,7,0:52:27
1,0,0,8,0:52:35
0,1,0,2,0:52:37
0,0,1,5,0:52:42
0,1,0,3,0:52:45
1,0,0,9,0:52:54
0,1,0,1,0:52:55
0,0,1,4,0:52:59
0,1,0,5,0:53:04
1,0,0,7,0:53:11
0,1,0,3,0:53:14
0,0,1,8,0:53:22
0,1,0,1,0:53:23
1,0,0,1,0:53:24
0,1,0,8,0:53:32
0,0,1,4,0:53:36
0,1,0,1,0:53:37
1,0,0,8,0:53:45
0,1,0,8,0:53:53
0,0,1,9,0:54:02
0,1,0,1,0:54:03
1,0,0,2,0:54:05
0,1,0,6,0:54:11
0,0,1,6,0:54:17
0,1,0,7,0:54:24
1,0,0,6,0:54:30
0,1,0,9,0:54:39
0,0,1,4,0:54:43
0,1,0,6,0:54:49
1,0,0,3,0:54:52
0,1,0,2,0:54:54
0,0,1,5,0:54:59
0,1,0,4,0:55:03
1,0,0,7,0:55:10
0,1,0,9,0:55:19
0,0,1,5,0:55:24
0,1,0,1,0:55:25
1,0,0,9,0:55:34
0,1,0,5,0:55:39
0,0,1,5,0:55:44
0,1,1,9,0:55:53
1,0,1,2,0:55:55
0,1,0,9,0:56:04
0,0,1,1,0:56:05
0,1,0,2,0:56:07
1,0,0,9,0:56:16
0,1,0,1,0:56:17
0,0,1,3,0:56:20
0,1,0,8,0:56:28
1,0,0,1,0:56:29
0,1,0,2,0:56:31
0,0,1,4,0:56:35
0,1,0,6,0:56:41
1,0,0,5,0:56:46
0,1,0,5,0:56:51
0,0,1,4,0:56:55
0,1,0,4,0:56:59
1,0,0,9,0:57:08
0,1,0,2,0:57:10
0,0,1,7,0:57:17
0,1,0,7,0:57:24
1,0,0,6,0:57:30
0,1,0,4,0:57:34
0,0,1,8,0:57:42
0,1,0,6,0:57:48
1,0,0,2,0:57:50
0,1,0,8,0:57:58
0,0,1,8,0:58:06
0,1,0,4,0:58:10
1,0,0,4,0:58:14
0,1,0,2,0:58:16
0,0,1,6,0:58:22
0,1,0,6,0:58:28
1,0,0,8,0:58:36
0,1,0,7,0:58:43
0,0,1,3,0:58:46
0,1,0,3,0:58:49
1,0,0,4,0:58:53
0,1,0,1,0:58:54
0,0,1,9,0:59:03
0,1,0,4,0:59:07
1,0,0,9,0:59:16
0,1,0,9,0:59:25
0,0,1,7,0:59:32
0,1,0,6,0:59:38
1,0,0,2,0:59:40
0,1,0,2,0:59:42
0,0,1,9,0:59:51
0,1,0,2,0:59:53
1,0,0,4,0:59:57
0,1,0,3,1:00:00
0,0,1,2,1:00:02
0,1,0,1,1:00:03
1,0,0,5,1:00:08
0,1,0,1,1:00:09
0,0,1,5,1:00:14
0,1,0,3,1:00:17
1,0,0,8,1:00:25
0,1,0,3,1:00:28
0,0,1,2,1:00:30
0,1,0,4,1:00:34
1,0,0,5,1:00:39
0,1,1,9,1:00:48
0,0,1,3,1:00:51
0,1,0,6,1:00:57
1,0,0,9,1:01:06
0,1,0,2,1:01:08
0,0,1,8,1:01:16
0,1,0,5,1:01:21
1,0,0,2,1:01:23
0,1,0,7,1:01:30
0,0,1,6,1:01:36
0,1,0,3,1:01:39
1,0,0,1,1:01:40
0,1,0,5,1:01:45
0,0,1,9,1:01:54
0,1,0,2,1:01:56
1,0,0,7,1:02:03
0,1,0,8,1:02:11
0,0,1,7,1:02:18
0,1,0,1,1:02:19
1,0,0,3,1:02:22
0,1,0,2,1:02:24
0,0,1,9,1:02:33
0,1,0,3,1:02:36
1,0,0,2,1:02:38
0,1,0,1,1:02:39
0,0,1,1,1:02:40
0,1,0,8,1:02:48
1,0,0,5,1:02:53
0,1,0,2,1:02:55
0,0,1,7,1:03:02
0,1,0,1,1:03:03
1,0,0,1,1:03:04
0,1,0,9,1:03:13
0,0,1,9,1:03:22
0,1,0,8,1:03:30
1,0,0,6,1:03:36
0,1,0,7,1:03:43
0,0,1,6,1:03:49
0,1,0,2,1:03:51
1,0,0,3,1:03:54
0,1,0,9,1:04:03
0,0,1,2,1:04:05
0,1,0,2,1:04:07
1,0,0,3,1:04:10
0,1,0,8,1:04:18
0,0,1,5,1:04:23
0,1,0,4,1:04:27
1,0,0,7,1:04:34
0,1,0,5,1:04:39
0,0,1,2,1:04:41
0,1,0,5,1:04:46
1,1,0,1,1:04:47
0,1,0,6,1:04:53
0,0,1,8,1:05:01
0,1,0,8,1:05:09
1,0,0,3,1:05:12
0,1,0,5,1:05:17
0,0,1,2,1:05:19
0,1,0,5,1:05:24
1,0,0,5,1:05:29
0,1,0,6,1:05:35
0,0,1,3,1:05:38
0,1,0,2,1:05:40
1,0,0,7,1:05:47
0,1,0,4,1:05:51
0,0,1,7,1:05:58
0,1,0,2,1:06:00
1,0,0,3,1:06:03
0,1,0,2,1:06:05
0,0,1,7,1:06:12
0,1,0,5,1:06:17
1,0,0,8,1:06:25
0,1,0,1,1:06:26
0,0,1,8,1:06:34
1,1,0,9,1:06:43
1,0,0,8,1:06:51
0,1,0,1,1:06:52
0,0,1,2,1:06:54
0,1,0,1,1:06:55
1,0,0,6,1:07:01
0,1,0,2,1:07:03
0,0,1,5,1:07:08
0,1,0,5,1:07:13
1,0,0,2,1:07:15
0,1,0,6,1:07:21
0,0,1,7,1:07:28
0,1,0,5,1:07:33
1,0,0,2,1:07:35
0,1,0,3,1:07:38
0,0,1,9,1:07:47
0,1,0,7,1:07:54
1,0,0,5,1:07:59
0,1,0,7,1:08:06
0,1,1,8,1:08:14
0,1,0,7,1:08:21
1,0,0,1,1:08:22
0,1,0,5,1:08:27
0,0,1,5,1:08:32
1,1,0,6,1:08:38
1,0,0,8,1:08:46
0,1,0,9,1:08:55
0,0,1,3,1:08:58
0,1,0,9,1:09:07
1,0,0,2,1:09:09
0,1,0,7,1:09:16
0,0,1,7,1:09:23
0,1,0,8,1:09:31
1,0,0,6,1:09:37
0,1,0,1,1:09:38
0,0,1,4,1:09:42
0,1,0,5,1:09:47
1,0,0,7,1:09:54
0,1,0,8,1:10:02
0,0,1,7,1:10:09
0,1,0,4,1:10:13
1,0,0,2,1:10:15
0,1,0,4,1:10:19
0,0,1,6,1:10:25
0,1,0,5,1:10:30
1,0,0,3,1:10:33
0,1,0,1,1:10:34
0,0,1,4,1:10:38
0,1,0,8,1:10:46
1,0,0,1,1:10:47
0,1,0,7,1:10:54
0,0,1,8,1:11:02
1,1,0,6,1:11:08
1,0,0,3,1:11:11
0,1,0,2,1:11:13
0,0,1,9,1:11:22
0,1,0,3,1:11:25
1,0,0,2,1:11:27
0,1,0,1,1:11:28
0,0,1,2,1:11:30
0,1,0,4,1:11:34
1,0,0,1,1:11:35
0,1,0,5,1:11:40
0,0,1,2,1:11:42
0,1,0,9,1:11:51
1,0,0,1,1:11:52
0,1,0,4,1:11:56
0,0,1,2,1:11:58
0,1,0,3,1:12:01
1,0,0,8,1:12:09
0,1,0,1,1:12:10
0,0,1,2,1:12:12
0,1,0,9,1:12:21
1,0,0,7,1:12:28
0,1,0,7,1:12:35
0,0,1,6,1:12:41
0,1,0,9,1:12:50
1,0,0,4,1:12:54
0,1,0,4,1:12:58
0,0,1,2,1:13:00
0,1,0,8,1:13:08
1,0,0,1,1:13:09
0,1,0,8,1:13:17
0,0,1,8,1:13:25
0,1,0,5,1:13:30
1,0,0,4,1:13:34
0,1,0,7,1:13:41
0,0,1,5,1:13:46
0,1,0,5,1:13:51
1,0,0,4,1:13:55
0,1,0,3,1:13:58
0,0,1,3,1:14:01
0,1,0,7,1:14:08
1,0,0,6,1:14:14
0,1,0,5,1:14:19
0,0,1,3,1:14:22
0,1,0,5,1:14:27
1,0,0,1,1:14:28
0,1,0,8,1:14:36
0,0,1,2,1:14:38
0,1,0,8,1:14:46
1,0,0,4,1:14:50
0,1,0,1,1:14:51
0,0,1,9,1:15:00
0,1,0,2,1:15:02
1,0,0,9,1:15:11
0,1,0,5,1:15:16
1,0,1,4,1:15:20
0,1,0,1,1:15:21
1,0,0,3,1:15:24
0,1,0,1,1:15:25
0,0,1,3,1:15:28
0,1,0,5,1:15:33
1,0,0,3,1:15:36
0,1,0,1,1:15:37
0,0,1,9,1:15:46
0,1,0,3,1:15:49
1,0,0,6,1:15:55
0,1,0,7,1:16:02
0,0,1,3,1:16:05
0,1,0,6,1:16:11
1,0,0,5,1:16:16
0,1,0,4,1:16:20
0,0,1,5,1:16:25
0,1,0,4,1:16:29
1,0,0,6,1:16:35
0,1,0,2,1:16:37
0,0,1,6,1:16:43
0,1,0,1,1:16:44
1,0,0,4,1:16:48
0,1,0,1,1:16:49
1,0,1,2,1:16:51
0,1,0,6,1:16:57
1,0,0,9,1:17:06
0,1,0,1,1:17:07
0,0,1,1,1:17:08
0,1,0,4,1:17:12
1,0,0,2,1:17:14
0,1,0,6,1:17:20
0,0,1,2,1:17:22
0,1,0,3,1:17:25
1,0,0,8,1:17:33
0,1,0,3,1:17:36
0,0,1,7,1:17:43
0,1,0,6,1:17:49
1,0,0,3,1:17:52
1,1,0,1,1:17:53
0,0,1,8,1:18:01
0,1,0,7,1:18:08
1,0,0,1,1:18:09
0,1,0,8,1:18:17
0,0,1,4,1:18:21
0,1,0,4,1:18:25
1,0,0,2,1:18:27
0,1,0,9,1:18:36
0,0,1,2,1:18:38
0,1,0,8,1:18:46
1,0,0,9,1:18:55
0,1,0,7,1:19:02
0,1,1,6,1:19:08
0,1,0,8,1:19:16
1,0,0,5,1:19:21
0,1,0,6,1:19:27
0,0,1,2,1:19:29
0,1,0,5,1:19:34
1,0,0,5,1:19:39
0,1,0,5,1:19:44
0,0,1,7,1:19:51
0,1,0,2,1:19:53
1,0,0,7,1:20:00
0,1,0,2,1:20:02
0,0,1,1,1:20:03
0,1,0,2,1:20:05
1,0,0,6,1:20:11
0,1,0,2,1:20:13
0,0,1,5,1:20:18
0,1,0,7,1:20:25
1,0,0,6,1:20:31
0,1,0,5,1:20:36
0,0,1,8,1:20:44
0,1,0,4,1:20:48
1,0,0,6,1:20:54
0,1,0,1,1:20:55
0,0,1,5,1:21:00
0,1,0,1,1:21:01
1,0,0,2,1:21:03
0,1,0,7,1:21:10
0,1,1,4,1:21:14
0,1,0,2,1:21:16
1,0,0,5,1:21:21
0,1,0,5,1:21:26
1,0,1,3,1:21:29
0,1,0,4,1:21:33
1,0,0,3,1:21:36
0,1,0,2,1:21:38
0,0,1,6,1:21:44
0,1,0,1,1:21:45
1,0,1,2,1:21:47
0,1,0,3,1:21:50
0,0,1,9,1:21:59
0,1,0,2,1:22:01
1,0,0,8,1:22:09
0,1,0,7,1:22:16
0,0,1,9,1:22:25
0,1,0,2,1:22:27
1,0,0,9,1:22:36
0,1,0,6,1:22:42
0,0,1,7,1:22:49
0,1,0,2,1:22:51
1,0,0,9,1:23:00
0,1,0,3,1:23:03
0,0,1,2,1:23:05
0,1,0,6,1:23:11
1,0,0,4,1:23:15
